device_type,manufacturer,region,manufacturing_year,base_lifespan_yrs,current_age_yrs,daily_usage_hrs,temperature,environment,power_quality,maintenance,software_load,remaining_life_yrs,failed
Computer,Acer,Konkan/Mumbai,2024,6,1.02,11.2,Hot,Normal,UPS Protected,None,Office,4.64,0
Router / Switch,Cisco,Konkan/Mumbai,2024,6,0.51,8.2,Hot,Normal,Direct Grid,Occasional,Light,5.49,0
Mouse,HP,Vidarbha/Marathwada,2025,3,0.22,7.1,Normal,Harsh,Frequent Outages,None,Light,2.5,0
Camera,Sony,Pune/Nashik,2024,5,0.91,3.5,Normal,Harsh,UPS Protected,Occasional,Office,4.03,0
Printer,HP,Konkan/Mumbai,2022,5,2.71,11.5,Normal,Harsh,Direct Grid,Occasional,Heavy,1.54,0
Television,LG,Pune/Nashik,2017,8,7.81,10.2,Cool,Clean,UPS Protected,None,Office,0.0,1
Motherboard,MSI,Vidarbha/Marathwada,2019,8,5.54,9.3,Normal,Harsh,Direct Grid,Occasional,Office,1.52,0
Smartphone,Vivo,Vidarbha/Marathwada,2025,4,0.35,4.0,Cool,Normal,Direct Grid,Occasional,Heavy,3.52,0
Washing Machine,Samsung,Konkan/Mumbai,2025,10,0.27,3.2,Normal,Harsh,Direct Grid,Occasional,Heavy,8.92,0
Television,Mi,Pune/Nashik,2021,8,3.81,6.8,Normal,Clean,Direct Grid,Regular,Office,3.57,0
Television,Mi,Konkan/Mumbai,2015,8,9.69,4.5,Cool,Clean,Frequent Outages,None,Office,0.0,1
Printer,Canon,Pune/Nashik,2023,5,2.14,3.6,Normal,Clean,UPS Protected,None,Office,2.82,0
Hard Disk / SSD,Seagate,Konkan/Mumbai,2024,5,0.59,9.4,Hot,Normal,UPS Protected,Occasional,Office,4.16,0
Battery,Generic,Vidarbha/Marathwada,2020,3,4.63,3.2,Hot,Normal,UPS Protected,Regular,Office,0.0,1
Router / Switch,D-Link,Konkan/Mumbai,2021,6,3.93,7.3,Cool,Harsh,Direct Grid,None,Light,1.92,0
Air Conditioner,Voltas,Konkan/Mumbai,2015,10,9.92,1.3,Normal,Clean,UPS Protected,Occasional,Office,0.0,1
Hard Disk / SSD,Seagate,Vidarbha/Marathwada,2024,5,0.75,11.0,Normal,Harsh,Direct Grid,Occasional,Office,4.25,0
Hard Disk / SSD,Crucial,Vidarbha/Marathwada,2018,5,6.67,5.1,Cool,Normal,Direct Grid,None,Heavy,0.0,1
Air Conditioner,Daikin,Pune/Nashik,2016,10,8.98,12.6,Hot,Clean,UPS Protected,Occasional,Heavy,0.0,1
Keyboard,Logitech,Pune/Nashik,2021,4,4.48,2.2,Normal,Clean,Direct Grid,Occasional,Office,0.0,1
Laptop,Apple,Pune/Nashik,2024,5,1.38,12.4,Cool,Normal,UPS Protected,Regular,Office,3.26,0
Keyboard,Zebronics,Pune/Nashik,2021,4,4.07,2.7,Hot,Normal,UPS Protected,Regular,Light,0.0,1
Mouse,HP,Pune/Nashik,2024,3,0.62,2.7,Normal,Clean,Direct Grid,Occasional,Office,2.38,0
Microwave,LG,Konkan/Mumbai,2025,8,0.25,13.0,Normal,Normal,Direct Grid,None,Light,7.52,0
Smartphone,Realme,Pune/Nashik,2022,4,2.8,11.5,Cool,Normal,Frequent Outages,Occasional,Heavy,0.83,0
Smartphone,OnePlus,Vidarbha/Marathwada,2020,4,5.21,8.9,Normal,Harsh,Frequent Outages,Regular,Office,0.0,1
Mouse,Dell,Vidarbha/Marathwada,2021,3,3.73,4.1,Normal,Harsh,Frequent Outages,Occasional,Light,0.0,1
Projector,Sony,Vidarbha/Marathwada,2019,5,6.45,2.9,Cool,Normal,UPS Protected,None,Light,0.0,1
Smartphone,Xiaomi,Konkan/Mumbai,2021,4,4.08,8.7,Cool,Clean,UPS Protected,Regular,Light,0.0,1
Smartphone,Vivo,Vidarbha/Marathwada,2023,4,1.5,4.1,Hot,Harsh,Frequent Outages,Regular,Light,2.18,0
Refrigerator,Samsung,Vidarbha/Marathwada,2024,12,1.39,13.0,Normal,Normal,UPS Protected,None,Light,10.61,0
Laptop,Asus,Pune/Nashik,2021,5,3.75,2.7,Hot,Normal,Direct Grid,Occasional,Office,0.73,0
Refrigerator,Godrej,Pune/Nashik,2022,12,3.26,6.4,Normal,Normal,UPS Protected,Regular,Office,8.3,0
Router / Switch,Cisco,Konkan/Mumbai,2021,6,3.85,12.9,Normal,Normal,Direct Grid,Regular,Heavy,1.2,0
Router / Switch,Cisco,Pune/Nashik,2023,6,1.62,10.6,Normal,Normal,Direct Grid,Occasional,Light,4.31,0
Battery,Luminous,Pune/Nashik,2024,3,0.69,13.2,Cool,Normal,UPS Protected,Occasional,Light,2.31,0
Monitor,Acer,Konkan/Mumbai,2019,7,5.55,2.2,Hot,Harsh,Frequent Outages,Regular,Office,0.15,0
Air Conditioner,Voltas,Konkan/Mumbai,2018,10,7.2,7.4,Normal,Normal,Direct Grid,None,Office,2.4,0
Battery,Exide,Pune/Nashik,2021,3,4.49,5.3,Cool,Normal,Direct Grid,None,Office,0.0,1
Smartphone,Realme,Vidarbha/Marathwada,2023,4,2.3,6.7,Normal,Normal,UPS Protected,Regular,Heavy,1.55,0
Monitor,Samsung,Pune/Nashik,2024,7,1.07,13.4,Normal,Normal,UPS Protected,None,Office,5.93,0
Washing Machine,IFB,Konkan/Mumbai,2021,10,3.54,11.7,Cool,Normal,Direct Grid,Regular,Office,5.95,0
Mouse,Dell,Vidarbha/Marathwada,2021,3,4.18,4.7,Hot,Harsh,UPS Protected,None,Heavy,0.0,1
Mouse,HP,Pune/Nashik,2024,3,0.72,4.1,Normal,Normal,UPS Protected,None,Light,2.28,0
Smartwatch,Samsung,Vidarbha/Marathwada,2024,3,1.19,11.4,Hot,Clean,UPS Protected,Regular,Office,1.79,0
Washing Machine,LG,Vidarbha/Marathwada,2023,10,2.42,1.5,Hot,Harsh,Frequent Outages,Occasional,Heavy,6.18,0
Microwave,IFB,Konkan/Mumbai,2018,8,7.1,4.5,Normal,Harsh,UPS Protected,Occasional,Light,0.54,0
Camera,Sony,Konkan/Mumbai,2024,5,0.64,3.3,Cool,Normal,UPS Protected,None,Office,4.21,0
Projector,Sony,Konkan/Mumbai,2021,5,4.05,4.9,Hot,Normal,Direct Grid,Regular,Heavy,0.39,0
Router / Switch,D-Link,Konkan/Mumbai,2024,6,1.07,2.5,Hot,Clean,Direct Grid,Occasional,Office,4.63,0
Computer,HP,Konkan/Mumbai,2022,6,2.54,8.6,Normal,Normal,UPS Protected,Occasional,Light,2.74,0
Router / Switch,D-Link,Konkan/Mumbai,2020,6,5.22,9.4,Normal,Clean,Direct Grid,Occasional,Office,0.0,1
Keyboard,Zebronics,Konkan/Mumbai,2019,4,5.53,12.5,Normal,Normal,UPS Protected,Occasional,Office,0.0,1
