Device_Type,Region,Base_Lifespan,Current_Age_Years,Usage_Hours_Per_Day,Dust_Index,Humidity_Index,Temperature_Stress,Power_Outage_Freq,Maintenance_Frequency,Actual_Total_Lifespan,Remaining_Useful_Life,Is_Failed
Computer,Vidarbha/Marathwada,6,2.94,5.7,0.66,0.43,0.88,Medium,Rare,3.51,0.57,0
Keyboard,Konkan/Mumbai,4,1.77,6.9,0.52,0.98,0.5,High,Rare,2.38,0.61,0
Router / Switch,Pune/Nashik,6,0.42,2.4,0.54,0.64,0.46,Medium,Annual,5.38,4.96,0
Mouse,Vidarbha/Marathwada,3,0.11,5.5,0.94,0.44,0.79,Low,Rare,2.28,2.17,0
Motherboard,Konkan/Mumbai,8,5.22,9.8,0.5,0.79,0.66,Medium,Annual,4.83,0.0,1
Printer,Konkan/Mumbai,5,2.18,8.6,0.36,0.71,0.6,Medium,Rare,3.01,0.83,0
Projector,Vidarbha/Marathwada,5,4.53,2.0,0.88,0.22,1.0,High,Biannual,5.22,0.69,0
Motherboard,Pune/Nashik,8,1.73,4.6,0.42,0.51,0.43,High,Rare,4.33,2.6,0
Monitor,Konkan/Mumbai,7,3.53,6.5,0.57,0.84,0.54,High,Annual,5.75,2.22,0
Router / Switch,Konkan/Mumbai,6,2.52,7.6,0.43,0.76,0.77,Medium,Rare,3.66,1.14,0
Mouse,Vidarbha/Marathwada,3,0.71,7.1,0.63,0.29,0.75,High,Biannual,2.83,2.12,0
Router / Switch,Pune/Nashik,6,2.62,8.5,0.67,0.5,0.43,Medium,Biannual,4.12,1.5,0
Projector,Konkan/Mumbai,5,4.82,6.2,0.37,0.74,0.6,High,Annual,3.96,0.0,1
Mouse,Konkan/Mumbai,3,0.87,9.8,0.51,0.91,0.54,High,Rare,1.51,0.64,0
Motherboard,Pune/Nashik,8,4.84,2.6,0.6,0.56,0.53,Medium,Rare,5.03,0.19,0
Keyboard,Konkan/Mumbai,4,2.89,3.5,0.49,0.86,0.53,High,Rare,3.26,0.37,0
Monitor,Konkan/Mumbai,7,2.65,5.1,0.45,0.77,0.69,Low,Biannual,6.78,4.13,0
Projector,Konkan/Mumbai,5,0.43,6.4,0.58,0.96,0.58,Medium,Annual,3.65,3.22,0
Keyboard,Vidarbha/Marathwada,4,3.0,8.9,0.91,0.26,0.78,High,Rare,2.53,0.0,1
Motherboard,Konkan/Mumbai,8,2.27,4.3,0.5,0.87,0.61,High,Rare,4.06,1.79,0
